PeakID (cmd=annotatePeaks.pl PPARg_exPPARg_RIPA_peaks.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr3-3	chr3	90504590	90504763	+	66.5	0.000	intron (NM_023215, intron 2 of 4)	intron (NM_023215, intron 2 of 4)	4822	NM_001293777	66511	Mm.154136	NM_023215	ENSMUSG00000001017	Chtop	2500003M10Rik|Fop|Srag	chromatin target of PRMT1	protein-coding
chr5-1	chr5	32442188	32442361	+	64.5	0.000	Intergenic	(CA)n|Simple_repeat|Simple_repeat	-16696	NM_172707	19046	Mm.241931	NM_172707		Ppp1cb	1200010B19	protein phosphatase 1, catalytic subunit, beta isoform	protein-coding
chr2-7	chr2	14130956	14131129	+	64.5	0.000	exon (NM_011484, exon 8 of 14)	exon (NM_011484, exon 8 of 14)	-43482	NM_001081310	625286	Mm.158781	NM_001081310	ENSMUSG00000061531	Tmem236	2010003H20Rik|Fam23a|Gm613	transmembrane protein 236	protein-coding
chr15-6	chr15	96710574	96710747	+	63.5	0.000	Intergenic	Intergenic	-10962	NM_175121	67760	Mm.46754	NM_175121	ENSMUSG00000022462	Slc38a2	5033402L14Rik|AI316867|ATA2|SAT2|mKIAA1382	solute carrier family 38, member 2	protein-coding
chr2-10	chr2	66148891	66149064	+	63.5	0.000	Intergenic	Intergenic	-24184	NM_015736	14425	Mm.439760	NM_015736	ENSMUSG00000026994	Galnt3	-	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3	protein-coding
chr6-9	chr6	37821943	37822116	+	62.6	0.000	Intergenic	RLTR6-int|LTR|ERV1	-48782	NM_145076	21848	Mm.41063	NM_145076		Trim24	A130082H20Rik|AI447469|D430004I05Rik|TIF1|TIF1-alpha|TIF1alpha|Tif1a	tripartite motif-containing 24	protein-coding
chr2-8	chr2	131427021	131427194	+	61.6	0.000	intron (NR_037281, intron 1 of 2)	RMER1B|Other|Other	-64755	NM_001177838	228608	Mm.136586	NM_145533	ENSMUSG00000027333	Smox	B130066H01Rik|PAO|PAOh1|SMO	spermine oxidase	protein-coding
chr1-3	chr1	58797514	58797687	+	61.6	0.000	intron (NM_009812, intron 1 of 8)	intron (NM_009812, intron 1 of 8)	2226	NM_009812	12370	Mm.336851	NM_009812	ENSMUSG00000026029	Casp8	CASP-8|FLICE|MACH|Mch5	caspase 8	protein-coding
chr5-2	chr5	148451105	148451278	+	60.6	0.000	Intergenic	Intergenic	-51287	NM_007513	11987	Mm.275489	NM_007513	ENSMUSG00000041313	Slc7a1	4831426K01Rik|AI447493|Atrc-1|Atrc1|Cat1|Rec-1|Rev-1|mCAT-1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1	protein-coding
chr3-4	chr3	59114350	59114523	+	60.6	0.000	TTS (NM_133200)	TTS (NM_133200)	-12615	NM_173398	229323	Mm.123648	NM_173398	ENSMUSG00000050075	Gpr171	A630006E05|F730001G15Rik|H963	G protein-coupled receptor 171	protein-coding
chr3-2	chr3	79628268	79628441	+	58.7	0.000	promoter-TSS (NM_029482)	promoter-TSS (NM_029482)	413	NM_025794	66841	Mm.28336	NM_025794	ENSMUSG00000027809	Etfdh	0610010I20Rik|AV001013	electron transferring flavoprotein, dehydrogenase	protein-coding
chr17-3	chr17	24478955	24479128	+	58.7	0.000	promoter-TSS (NM_019988)	promoter-TSS (NM_019988)	37	NM_001252463	56716	Mm.289516	NM_019988	ENSMUSG00000024142	Mlst8	0610033N12Rik|AA409454|AI505104|AI851821|Gbl	MTOR associated protein, LST8 homolog (S. cerevisiae)	protein-coding
chr13-4	chr13	113355069	113355242	+	57.7	0.000	Intergenic	Intergenic	145496	NM_023612	71690	Mm.38929	NM_023612	ENSMUSG00000042379	Esm1	0610042H23Rik|AV004503|ESM-1	endothelial cell-specific molecule 1	protein-coding
chr2-13	chr2	58309805	58309978	+	57.7	0.000	intron (NM_001111030, intron 2 of 8)	intron (NM_001111030, intron 2 of 8)	14916	NM_001033369	269275	Mm.77751	NM_001033369	ENSMUSG00000026834	Acvr1c	ACVRLK7|ALK7|Alk-7|C230097P10	activin A receptor, type IC	protein-coding
chr14-5	chr14	74844646	74844819	+	56.7	0.000	intron (NM_001252132, intron 2 of 18)	intron (NM_001252132, intron 2 of 18)	103145	NM_001252132	380916	Mm.288868	NM_001033439	ENSMUSG00000068015	Lrch1	4832412D13Rik|AI552548|AW215503|Chdc1|mKIAA1016	leucine-rich repeats and calponin homology (CH) domain containing 1	protein-coding
chr15-8	chr15	9624768	9624941	+	55.7	0.000	Intergenic	Intergenic	-94978	NM_008372	16197	Mm.389	NM_008372	ENSMUSG00000003882	Il7r	CD127|IL-7Ralpha	interleukin 7 receptor	protein-coding
chr1-8	chr1	82869532	82869705	+	55.7	0.000	intron (NM_010472, intron 2 of 12)	intron (NM_010472, intron 2 of 12)	30135	NM_010472	15463	Mm.392569	NM_010472	ENSMUSG00000026159	Agfg1	AU045498|C130049H11Rik|C85612|D730048C23Rik|Hrb|RAB|Rip	ArfGAP with FG repeats 1	protein-coding
chr15-5	chr15	62433504	62433677	+	55.7	0.000	Intergenic	Intergenic	-214139	NR_003523	67552	Mm.484027	NM_026230		H2afy3	4933432H23Rik	H2A histone family, member Y3	pseudo
chr14-8	chr14	76520631	76520804	+	55.7	0.000	non-coding (NR_045660, exon 1 of 4)	non-coding (NR_045660, exon 1 of 4)	138	NR_045660	75789	Mm.159571	NR_045660	ENSMUSG00000097172	4930444M15Rik	-	RIKEN cDNA 4930444M15 gene	ncRNA
chr7-1	chr7	90025138	90025311	+	55.7	0.000	Intergenic	Intergenic	-3935	NR_110365	319711	Mm.31753	NR_015614		E230029C05Rik	AI452102|B230337J15	RIKEN cDNA E230029C05 gene	ncRNA
chr1-4	chr1	59244863	59245036	+	54.7	0.000	Intergenic	Intergenic	-7718	NM_146109	74018	Mm.272078	NM_028717	ENSMUSG00000026024	Als2	3222402C23Rik|9430073A21Rik|Als2cr6|Alsin|mKIAA1563	amyotrophic lateral sclerosis 2 (juvenile)	protein-coding
chr13-3	chr13	104041050	104041223	+	54.7	0.000	intron (NM_029447, intron 9 of 12)	intron (NM_029447, intron 9 of 12)	68478	NM_029447	75805	Mm.127692	NM_029447	ENSMUSG00000021710	Nln	4930472G13Rik|C79345	neurolysin (metallopeptidase M3 family)	protein-coding
chr10-9	chr10	54026755	54026928	+	53.8	0.000	intron (NM_008548, intron 3 of 12)	MER44C|DNA|TcMar-Tigger	48955	NM_008548	17155	Mm.117294	NM_008548	ENSMUSG00000003746	Man1a	Man1a1|PCR1	mannosidase 1, alpha	protein-coding
chr19-10	chr19	23613091	23613264	+	53.8	0.000	intron (NM_026188, intron 2 of 5)	intron (NM_026188, intron 2 of 5)	39635	NM_026188	67483	Mm.443287	NM_026188	ENSMUSG00000033053	1700028P14Rik	AV209940	RIKEN cDNA 1700028P14 gene	protein-coding
chr19-3	chr19	43918787	43918960	+	53.8	0.000	intron (NM_028029, intron 1 of 15)	intron (NM_028029, intron 1 of 15)	21325	NM_028029	71972	Mm.159024	NM_028029		Dnmbp	2410003L07Rik|2410003M15Rik|TUBA	dynamin binding protein	protein-coding
chr6-4	chr6	97294102	97294275	+	53.8	0.000	intron (NM_145148, intron 22 of 23)	intron (NM_145148, intron 22 of 23)	-41408	NM_001081157	320502	Mm.68163	NM_001081157	ENSMUSG00000044086	Lmod3	5430424A14Rik	leiomodin 3 (fetal)	protein-coding
chr2-15	chr2	38472922	38473095	+	52.8	0.000	Intergenic	Intergenic	-38689	NM_021606	59126	Mm.143818	NM_021606	ENSMUSG00000026749	Nek6	1300007C09Rik	NIMA (never in mitosis gene a)-related expressed kinase 6	protein-coding
chr5-3	chr5	24936441	24936614	+	52.8	0.000	intron (NM_145401, intron 4 of 15)	intron (NM_145401, intron 4 of 15)	-28018	NM_001170555	108099	Mm.33649	NM_145401	ENSMUSG00000028944	Prkag2	2410051C13Rik|AAKG|AAKG2|AI854673|H91620p|WPWS	protein kinase, AMP-activated, gamma 2 non-catalytic subunit	protein-coding
chr13-2	chr13	101599710	101599883	+	52.8	0.000	Intergenic	Intergenic	92834	NM_001024955	18708	Mm.259333	NM_001024955	ENSMUSG00000041417	Pik3r1	PI3K|p50alpha|p55alpha|p85alpha	phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)	protein-coding
chr7-2	chr7	97740142	97740315	+	51.8	0.000	Intergenic	Intergenic	-1981	NM_175105	66333	Mm.29756	NM_175105	ENSMUSG00000042797	Aqp11	1700015P13Rik|AI648923|sjds	aquaporin 11	protein-coding
chr9-16	chr9	108662019	108662192	+	51.8	0.000	promoter-TSS (NM_020520)	promoter-TSS (NM_020520)	7	NM_020520	57279	Mm.29666	NM_020520	ENSMUSG00000032602	Slc25a20	1110007P09Rik|C78826|Cact|mCAC	solute carrier family 25 (mitochondrial carnitine/acylcarnitine translocase), member 20	protein-coding
chr1-9	chr1	165351327	165351500	+	51.8	0.000	intron (NM_028759, intron 13 of 18)	intron (NM_028759, intron 13 of 18)	55647	NM_001081126	240888	Mm.329929	NM_001081126	ENSMUSG00000040836	Gpr161	Gm208|Gm208Gpr|vl	G protein-coupled receptor 161	protein-coding
chr12-4	chr12	73842287	73842460	+	50.8	0.000	Intergenic	Intergenic	-65494	NM_010431	15251	Mm.3879	NM_010431	ENSMUSG00000021109	Hif1a	AA959795|HIF-1-alpha|HIF1-alpha|HIF1alpha|MOP1|bHLHe78	hypoxia inducible factor 1, alpha subunit	protein-coding
chr6-6	chr6	142757287	142757460	+	50.8	0.000	intron (NM_009908, intron 1 of 7)	intron (NM_009908, intron 1 of 7)	687	NM_009908	12764	Mm.3820	NM_009908	ENSMUSG00000030282	Cmas	AW208911|CMPNeu5Ac|D6Bwg0250e	cytidine monophospho-N-acetylneuraminic acid synthetase	protein-coding
chr9-18	chr9	32726548	32726721	+	50.8	0.000	intron (NM_001038642, intron 1 of 6)	Lx8|LINE|L1	30592	NM_001038642	23871	Mm.292415	NM_011808	ENSMUSG00000032035	Ets1	AI196000|AI448617|D230050P06|Ets-1|Tpl1	E26 avian leukemia oncogene 1, 5' domain	protein-coding
chr1-5	chr1	93656854	93657027	+	50.8	0.000	Intergenic	Intergenic	-21213	NM_021537	59041	Mm.28761	NM_021537		Stk25	1500019J11Rik|AU018434|C86992|Ste20-like|Ysk1	serine/threonine kinase 25 (yeast)	protein-coding
chr1-7	chr1	60765156	60765329	+	49.9	0.000	intron (NM_007642, intron 2 of 3)	intron (NM_007642, intron 2 of 3)	18854	NM_007642	12487	Mm.255003	NM_007642	ENSMUSG00000026012	Cd28	-	CD28 antigen	protein-coding
chr12-5	chr12	108639276	108639449	+	49.9	0.000	intron (NM_001163396, intron 2 of 14)	intron (NM_001163396, intron 2 of 14)	3609	NM_001163396	14026	Mm.238841	NM_007965	ENSMUSG00000021262	Evl	AI528774	Ena-vasodilator stimulated phosphoprotein	protein-coding
chr11-2	chr11	79130140	79130313	+	49.9	0.000	intron (NM_013571, intron 1 of 17)	intron (NM_013571, intron 1 of 17)	16128	NM_013571	16706	Mm.4745	NM_013571	ENSMUSG00000018334	Ksr1	AW492498|B-KSR1|D11Bhm183e|D11Bhm184e|Ksr|RSU2|hb	kinase suppressor of ras 1	protein-coding
chr4-2	chr4	86690183	86690356	+	49.9	0.000	Intergenic	Intergenic	-20210	NM_007408	11520	Mm.381	NM_007408	ENSMUSG00000028494	Plin2	AA407157|ADPH|Adfp|Adrp	perilipin 2	protein-coding
chr16-2	chr16	36934315	36934488	+	49.9	0.000	promoter-TSS (NM_008225)	promoter-TSS (NM_008225)	-582	NM_008225	15163	Mm.4091	NM_008225	ENSMUSG00000022831	Hcls1	AW213261|HS1	hematopoietic cell specific Lyn substrate 1	protein-coding
chr8-1	chr8	115385858	115386031	+	49.9	0.000	Intergenic	Intergenic	320950	NM_001025577	17132	Mm.275549	NM_001025577		Maf	2810401A20Rik|A230108G15Rik|AW047063|c-maf	avian musculoaponeurotic fibrosarcoma (v-maf) AS42 oncogene homolog	protein-coding
chr6-3	chr6	129209187	129209360	+	49.9	0.000	Intergenic	Intergenic	28658	NM_053109	93694	Mm.197536	NM_053109	ENSMUSG00000030157	Clec2d	Clr-b|Clrb|Ocil	C-type lectin domain family 2, member d	protein-coding
chr11-3	chr11	100628168	100628341	+	49.9	0.000	TTS (NM_028024)	TTS (NM_028024)	5299	NM_028024	71966	Mm.274734	NM_028024	ENSMUSG00000017837	Nkiras2	2410003M04Rik|4930527H08Rik|D630018G21Rik|KBRAS2	NFKB inhibitor interacting Ras-like protein 2	protein-coding
chr4-4	chr4	59675317	59675490	+	48.9	0.000	intron (NM_153158, intron 1 of 2)	L1ME2|LINE|L1	49192	NM_153158	230259	Mm.45688	NM_153158	ENSMUSG00000045071	E130308A19Rik	-	RIKEN cDNA E130308A19 gene	protein-coding
chr15-16	chr15	36898803	36898976	+	48.9	0.000	Intergenic	Intergenic	-101960	NM_001253806	22631	Mm.3360	NM_011740	ENSMUSG00000022285	Ywhaz	1110013I11Rik|14-3-3zeta|AI596267|AL022924|AU020854	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	protein-coding
chr2-24	chr2	29632314	29632487	+	48.9	0.000	intron (NM_001039086, intron 1 of 25)	L1MB3|LINE|L1	12680	NM_001039087	107746	Mm.298274	NM_054050	ENSMUSG00000039844	Rapgef1	4932418O06Rik|C3G|Grf2	Rap guanine nucleotide exchange factor (GEF) 1	protein-coding
chr3-12	chr3	106548242	106548415	+	48.9	0.000	promoter-TSS (NM_133869)	promoter-TSS (NM_133869)	-526	NM_133869	99712	Mm.486418	NM_133869	ENSMUSG00000040774	Cept1	9930118K05Rik|mCEPT1	choline/ethanolaminephosphotransferase 1	protein-coding
chr9-21	chr9	124146481	124146654	+	48.9	0.000	Intergenic	RMER15|LTR|ERVL	25024	NM_009917	12774	Mm.14302	NM_009917	ENSMUSG00000079227	Ccr5	AM4-7|CD195|Cmkbr5	chemokine (C-C motif) receptor 5	protein-coding
chr6-12	chr6	51060205	51060378	+	47.9	0.000	Intergenic	Intergenic	209619	NR_029719	387166		NR_029719	ENSMUSG00000065505	Mir148a	Mirn148|Mirn148a|mir-148a	microRNA 148a	ncRNA
chr17-25	chr17	29399363	29399536	+	47.9	0.000	Intergenic	L1ME4b|LINE|L1	38535	NM_001159538	26382	Mm.279187	NM_013710	ENSMUSG00000024013	Fgd2	Tcd-2|Tcd2|ZFYVE4|tcs-2|tcs2	FYVE, RhoGEF and PH domain containing 2	protein-coding
chr14-9	chr14	52098888	52099061	+	47.9	0.000	intron (NM_001170981, intron 1 of 8)	intron (NM_001170981, intron 1 of 8)	5054	NM_001170983	15381	Mm.427321	NM_016884	ENSMUSG00000060373	Hnrnpc	AL022939|D14Wsu171e|Hnrpc|Hnrpc1|Hnrpc2|hnRNPC1|hnRNPC2|hnrnp-C	heterogeneous nuclear ribonucleoprotein C	protein-coding
chr15-7	chr15	81081277	81081450	+	47.9	0.000	intron (NM_001082536, intron 2 of 13)	intron (NM_001082536, intron 2 of 13)	23684	NM_153049	223701	Mm.439814	NM_153049	ENSMUSG00000042292	Mkl1	AMKL|Bsac|Mal|Mrtf-A	MKL (megakaryoblastic leukemia)/myocardin-like 1	protein-coding
chr15-9	chr15	9536194	9536367	+	47.9	0.000	Intergenic	Intergenic	-6404	NM_008372	16197	Mm.389	NM_008372	ENSMUSG00000003882	Il7r	CD127|IL-7Ralpha	interleukin 7 receptor	protein-coding
chr17-10	chr17	11382819	11382992	+	47.9	0.000	intron (NM_016694, intron 4 of 11)	RLTR21|LTR|ERVK	500284	NR_045808	52027	Mm.442257	NR_045808		D17Ertd648e	-	DNA segment, Chr 17, ERATO Doi 648, expressed	ncRNA
chr9-17	chr9	96806120	96806293	+	46.9	0.000	Intergenic	Intergenic	40644	NR_102293	319707	Mm.392191	NR_102293	ENSMUSG00000101581	C430002N11Rik	-	RIKEN cDNA C430002N11 gene	ncRNA
chr17-11	chr17	21500724	21500897	+	46.9	0.000	intron (NM_013843, intron 3 of 4)	RMER19B2|LTR|ERVK	11822	NM_013843	24132	Mm.42140	NM_013843		Zfp53	D030067O06Rik|KRAZ1|Zfp-53|Zfp118|zfas8	zinc finger protein 53	protein-coding
chr7-13	chr7	140321142	140321315	+	46.9	0.000	Intergenic	Intergenic	-1473	NM_146956	258958	Mm.347648	NM_146956	ENSMUSG00000061489	Olfr525	MOR251-2	olfactory receptor 525	protein-coding
chr9-25	chr9	56134102	56134275	+	46.9	0.000	Intergenic	L1MC4|LINE|L1	26882	NM_019793	56434	Mm.28484	NM_019793	ENSMUSG00000032324	Tspan3	1700055K04Rik|TM4-A|Tm4sf8	tetraspanin 3	protein-coding
chr19-5	chr19	12805881	12806054	+	46.9	0.000	intron (NM_134152, intron 2 of 8)	L2|LINE|L2	7358	NM_134152	107321	Mm.313136	NM_134152	ENSMUSG00000024696	Lpxn	4933402K05Rik|A530083L21Rik|AV278559|LDPL	leupaxin	protein-coding
chr2-17	chr2	139886195	139886368	+	46.9	0.000	intron (NM_001159641, intron 10 of 12)	intron (NM_001159641, intron 10 of 12)	180524	NR_110352	75812	Mm.293449	NM_175225	ENSMUSG00000039033	Tasp1	4930485D02Rik|AW986064	taspase, threonine aspartase 1	protein-coding
chr7-14	chr7	51750368	51750541	+	46.9	0.000	Intergenic	Intergenic	111813	NM_001115087	100040608	Mm.322643	NM_001115087	ENSMUSG00000092118	Fancf	A730016A17	Fanconi anemia, complementation group F	protein-coding
chr17-8	chr17	33779362	33779535	+	45.9	0.000	intron (NM_020581, intron 3 of 6)	intron (NM_020581, intron 3 of 6)	2127	NM_020581	57875	Mm.196189	NM_020581		Angptl4	Arp4|Bk89|Fiaf|Hfarp|Ng27|Pgar|Pgarg|Pp1158	angiopoietin-like 4	protein-coding
chr14-7	chr14	16256166	16256339	+	45.9	0.000	intron (NM_021504, intron 2 of 11)	intron (NM_021504, intron 2 of 11)	-6444	NM_027695	71147	Mm.197960	NM_027695	ENSMUSG00000021786	Oxsm	4933425A18Rik|C80494	3-oxoacyl-ACP synthase, mitochondrial	protein-coding
chr7-4	chr7	140357485	140357658	+	45.9	0.000	Intergenic	L1MA4|LINE|L1	-11584	NM_146955	18361	Mm.222844	NM_146955	ENSMUSG00000060112	Olfr60	IH6|MOR253-6	olfactory receptor 60	protein-coding
chr3-6	chr3	107336045	107336218	+	45.9	0.000	Intergenic	Intergenic	-2842	NM_001045807	229700	Mm.27966	NM_001045807		Rbm15	C230088J01Rik|mKIAA1438	RNA binding motif protein 15	protein-coding
chr5-9	chr5	107779503	107779676	+	45.9	0.000	intron (NM_007964, intron 16 of 17)	L2a|LINE|L2	-50573	NM_001276397	73318	Mm.441500	NM_028502	ENSMUSG00000063447	Ube2d2b	1700013N18Rik	ubiquitin-conjugating enzyme E2D 2B	protein-coding
chr7-3	chr7	43443718	43443891	+	45.9	0.000	promoter-TSS (NM_026695)	promoter-TSS (NM_026695)	-268	NM_026695	110826	Mm.30200	NM_026695	ENSMUSG00000004610	Etfb	0610009I16Rik|2810441H06Rik	electron transferring flavoprotein, beta polypeptide	protein-coding
chr8-10	chr8	70544283	70544456	+	44.0	0.000	intron (NM_007924, intron 1 of 11)	intron (NM_007924, intron 1 of 11)	4694	NM_007924	13716	Mm.271973	NM_007924	ENSMUSG00000070002	Ell	Ell1|Men	elongation factor RNA polymerase II	protein-coding
chr9-19	chr9	32899870	32900043	+	44.0	0.000	Intergenic	Intergenic	203914	NM_001038642	23871	Mm.292415	NM_011808	ENSMUSG00000032035	Ets1	AI196000|AI448617|D230050P06|Ets-1|Tpl1	E26 avian leukemia oncogene 1, 5' domain	protein-coding
chr3-8	chr3	101051410	101051583	+	44.0	0.000	intron (NM_011197, intron 6 of 8)	intron (NM_011197, intron 6 of 8)	-22001	NM_001167906	630146	Mm.190915	NM_001099332	ENSMUSG00000086564	Cd101	EWI-101|Gm1016|Gm734|Igsf2	CD101 antigen	protein-coding
chr10-2	chr10	128303362	128303535	+	44.0	0.000	5' UTR (NM_001252327, exon 1 of 26)	5' UTR (NM_001252327, exon 1 of 26)	113	NM_133992	103135	Mm.244183	NM_133992	ENSMUSG00000005682	Pan2	1200014O24Rik|AI047843|AW742773|Usp52|mKIAA0710	PAN2 polyA specific ribonuclease subunit homolog (S. cerevisiae)	protein-coding
chr3-7	chr3	36788925	36789098	+	44.0	0.000	Intergenic	URR1A|DNA|hAT-Charlie	-74095	NM_172679	229227	Mm.207907	NM_172679	ENSMUSG00000037270	4932438A13Rik	4732443H21|B830039D19Rik|D630029K19Rik|FSA|Kiaa1109|Tweek	RIKEN cDNA 4932438A13 gene	protein-coding
chr9-27	chr9	14967260	14967433	+	44.0	0.000	Intergenic	URR1A|DNA|hAT-Charlie	-63395	NM_176807	64931	Mm.86738	NM_022888	ENSMUSG00000031933	Izumo1r	0910001L11Rik|C86255|Folbp3|Folr4|Juno	IZUMO1 receptor, JUNO	protein-coding
chr2-19	chr2	8965071	8965244	+	44.0	0.000	Intergenic	Intergenic	-224358	NR_038180	73438	Mm.23558	NR_038180	ENSMUSG00000085580	1700061F12Rik	-	RIKEN cDNA 1700061F12 gene	ncRNA
chr16-4	chr16	10754626	10754799	+	44.0	0.000	Intergenic	Intergenic	30824	NM_009896	12703	Mm.130	NM_009896	ENSMUSG00000038037	Socs1	Cish1|Cish7|JAB|SOCS-1|SSI-1	suppressor of cytokine signaling 1	protein-coding
chr11-13	chr11	103026928	103027101	+	44.0	0.000	Intergenic	Intergenic	-1548	NM_008707	18107	Mm.10265	NM_008707	ENSMUSG00000020936	Nmt1	AW536594	N-myristoyltransferase 1	protein-coding
chr8-3	chr8	10589399	10589572	+	43.0	0.000	intron (NM_001081397, intron 33 of 35)	intron (NM_001081397, intron 33 of 35)	292969	NR_040705	320014	Mm.403203	NR_040705		B930025P03Rik	-	RIKEN cDNA B930025P03 gene	ncRNA
chr1-30	chr1	165197905	165198078	+	43.0	0.000	Intergenic	Intergenic	-3558	NM_145512	108735	Mm.288369	NM_145512	ENSMUSG00000040848	Sft2d2	2010005O13Rik|AI506168|AW561909|cI-45	SFT2 domain containing 2	protein-coding
chr11-7	chr11	83079423	83079596	+	43.0	0.000	Intergenic	RLTR30D2_MM|LTR|ERV1	14397	NM_011408	20556	Mm.278689	NM_011408	ENSMUSG00000072620	Slfn2	Shlf2	schlafen 2	protein-coding
chr16-11	chr16	11400417	11400590	+	43.0	0.000	intron (NM_028964, intron 6 of 20)	MIRb|SINE|MIR	-5145	NM_001290148	74478	Mm.325831	NM_028964	ENSMUSG00000071669	Snx29	4933437K13Rik|ENSMUSG00000079738|Gm11170|Gm1737|Gm930|Rundc2a	sorting nexin 29	protein-coding
chr4-1	chr4	86671962	86672135	+	43.0	0.000	Intergenic	Intergenic	-1989	NM_007408	11520	Mm.381	NM_007408	ENSMUSG00000028494	Plin2	AA407157|ADPH|Adfp|Adrp	perilipin 2	protein-coding
chr16-7	chr16	57585193	57585366	+	43.0	0.000	intron (NM_025599, intron 1 of 9)	intron (NM_025599, intron 1 of 9)	21588	NM_025599	66497	Mm.425976	NM_025599		Cmss1	1110001A06Rik|2610528E23Rik|4930572F24Rik|AV099812|AV122629	cms small ribosomal subunit 1	protein-coding
chr8-2	chr8	81482744	81482917	+	43.0	0.000	intron (NM_001297596, intron 2 of 24)	intron (NM_001297596, intron 2 of 24)	140268	NM_001297593	234515	Mm.324468	NM_001024617	ENSMUSG00000037940	Inpp4b	E130107I17Rik	inositol polyphosphate-4-phosphatase, type II	protein-coding
